																																																									
			1221	1231	1351	1354	1356	1380	1384	1510	1513	1551	1560	1563	1624	1645	1651	1680	1984	2118	2135	2156	2163	2165	2315	2354	2975	2984	3041	3042	3051	3052	3053	3054	3151	3158	3615	3984	4312	4531	4652	4684	5132	5151	5163	5165	5384	5412	5432	5515	6215	6312	6516	6582	6812	9841	Sum
	апр, 1988	Check																				7885,00																																			7885,00
		Credit			1250,00																																																				1250,00
		Visa					4807,00																																																		4807,00
		Sum			1250,00		4807,00															7885,00																																			13942,00
	май, 1988	COD									5587,00	4996,00	2679,85																																												13262,85
		Credit												5201,00	3115,00	134,85																																									8450,85
		MC															20321,75																																								20321,75
		Visa							6500,00	1449,50																																															7949,50
		Sum							6500,00	1449,50	5587,00	4996,00	2679,85	5201,00	3115,00	134,85	20321,75																																								49984,95
	июн, 1988	AmEx																2605,00																																							2605,00
		Check																	10195,00	5256,00																																					15451,00
		Credit																			20602,00	9955,00	13783,65																																		44340,65
		Sum																2605,00	10195,00	5256,00	20602,00	9955,00	13783,65																																		62396,65
	июл, 1988	AmEx								930,00					2920,00																																										3850,00
		Check	4674,00																																6897,00																						11571,00
		Credit																		12685,00			775,00																																		13460,00
		MC														20108,00																					559,60																				20667,60
		Visa							25210,00								343,80																																								25553,80
		Sum	4674,00						25210,00	930,00					2920,00	20108,00	343,80			12685,00			775,00												6897,00		559,60																				75102,40
	авг, 1988	Cash							1238,00																																																1238,00
		Check																18532,00																																							18532,00
		Credit											560,00						3117,00																												4110,00										7787,00
		Visa														10152,00																				536,80																					10688,80
		Sum							1238,00				560,00			10152,00		18532,00	3117,00																	536,80											4110,00										38245,80
	сен, 1988	AmEx																																				971,70			7807,00																8778,70
		Credit																																									12455,00														12455,00
		Visa																																																					3632,00		3632,00
		Sum																																				971,70			7807,00		12455,00												3632,00		24865,70
	окт, 1988	Credit																																																64050,00						787,80	64837,80
		Sum																																																64050,00						787,80	64837,80
	ноя, 1988	Cash																																																15365,00							15365,00
		Check																							766,80																																766,80
		Sum																							766,80																									15365,00							16131,80
	дек, 1988	AmEx																														6287,85																									6287,85
		MC																																																						1809,85	1809,85
		Visa																																															7346,00								7346,00
		Sum																														6287,85																	7346,00							1809,85	15443,70
	янв, 1989	Credit			16788,00																			325,00																													24650,00				41763,00
		Visa																																															14188,00								14188,00
		Sum			16788,00																			325,00																									14188,00				24650,00				55951,00
	фев, 1989	Cash					2150,00																																																		2150,00
		Check		15355,00																																																					15355,00
		Credit			23406,00									1975,00						12736,00																																					38117,00
		MC									19293,70																																														19293,70
		Sum		15355,00	23406,00		2150,00				19293,70			1975,00						12736,00																																					74915,70
	мар, 1989	Credit												24277,30						18715,00										61869,30																											104861,60
		Visa																																19812,00																		17814,00					37626,00
		Sum												24277,30						18715,00										61869,30				19812,00																		17814,00					142487,60
	апр, 1989	Cash					3596,00						103041,00																																												106637,00
		Credit										156,00															33829,45																								22354,00						56339,45
		MC		19414,00	8560,00														2195,00																					31847,00																	62016,00
		Visa			4495,00																																																				4495,00
		Sum		19414,00	13055,00		3596,00					156,00	103041,00						2195,00								33829,45													31847,00											22354,00						229487,45
	май, 1989	AmEx										1416,45																		30566,00																											31982,45
		Cash									14049,95			11164,80				1185,00																																							26399,75
		Credit			14045,00		9634,00	4445,00			8507,00			1950,00															79116,00						2706,00																						120403,00
		Visa																																																				76698,75			76698,75
		Sum			14045,00		9634,00	4445,00			22556,95	1416,45		13114,80				1185,00											79116,00	30566,00					2706,00																			76698,75			255483,95
	июн, 1989	Credit							6094,80										859,95						472,90																																7427,65
		MC																				7531,75				123740,00											12953,60								4113,75												148339,10
		Visa																479,80																																							479,80
		Sum							6094,80									479,80	859,95			7531,75			472,90	123740,00											12953,60								4113,75												156246,55
